INFO | 2019-10-17 10:41:33,357 | loggingapp | root | logging a test message from /
INFO | 2019-10-17 10:41:34,343 | loggingapp | root | logging a test message from /
INFO | 2019-10-28 12:48:10,726 | loggingapp | root | logging a test message from /
INFO | 2019-10-28 12:48:10,726 | loggingapp | root | logging a test message from /
INFO | 2019-10-28 12:48:13,103 | loggingapp | root | logging a test message from /
INFO | 2019-10-28 12:48:13,103 | loggingapp | root | logging a test message from /
INFO | 2019-10-28 12:48:13,718 | loggingapp | root | logging a test message from /
INFO | 2019-10-28 12:48:13,718 | loggingapp | root | logging a test message from /
INFO | 2019-10-28 12:48:14,249 | loggingapp | root | logging a test message from /
INFO | 2019-10-28 12:48:14,249 | loggingapp | root | logging a test message from /
INFO | 2019-10-28 12:48:14,488 | loggingapp | root | logging a test message from /
INFO | 2019-10-28 12:48:14,488 | loggingapp | root | logging a test message from /
INFO | 2019-10-28 12:48:14,662 | loggingapp | root | logging a test message from /
INFO | 2019-10-28 12:48:14,662 | loggingapp | root | logging a test message from /
INFO | 2019-10-28 12:48:14,814 | loggingapp | root | logging a test message from /
INFO | 2019-10-28 12:48:14,814 | loggingapp | root | logging a test message from /
INFO | 2019-10-28 12:48:14,963 | loggingapp | root | logging a test message from /
INFO | 2019-10-28 12:48:14,963 | loggingapp | root | logging a test message from /
INFO | 2019-10-28 12:48:15,128 | loggingapp | root | logging a test message from /
INFO | 2019-10-28 12:48:15,128 | loggingapp | root | logging a test message from /
INFO | 2019-10-28 12:48:15,283 | loggingapp | root | logging a test message from /
INFO | 2019-10-28 12:48:15,283 | loggingapp | root | logging a test message from /
